series_title,released_year,certificate,runtime,genre,imdb_rating,meta_score,gross,genre1,genre2,genre3
Sholay,1975,U,204 min,"Action, Adventure, Comedy",8.2,,,Action,Adventure,Comedy
Monty Python and the Holy Grail,1975,PG,91 min,"Adventure, Comedy, Fantasy",8.2,91.0,"1,229,197",Adventure,Comedy,Fantasy
The Great Escape,1963,U,172 min,"Adventure, Drama, History",8.2,86.0,"12,100,000",Adventure,Drama,History
To Kill a Mockingbird,1962,U,129 min,"Crime, Drama",8.2,88.0,,Crime,Drama,
Yôjinbô,1961,,110 min,"Action, Drama, Thriller",8.2,,,Action,Drama,Thriller
Judgment at Nuremberg,1961,A,179 min,"Drama, War",8.2,60.0,,Drama,War,
Some Like It Hot,1959,U,121 min,"Comedy, Music, Romance",8.2,98.0,"25,000,000",Comedy,Music,Romance
Smultronstället,1957,U,91 min,"Drama, Romance",8.2,88.0,,Drama,Romance,
Det sjunde inseglet,1957,A,96 min,"Drama, Fantasy, History",8.2,88.0,,Drama,Fantasy,History
Du rififi chez les hommes,1955,,118 min,"Crime, Drama, Thriller",8.2,97.0,"57,226",Crime,Drama,Thriller
Dial M for Murder,1954,A,105 min,"Crime, Thriller",8.2,75.0,"12,562",Crime,Thriller,
Tôkyô monogatari,1953,U,136 min,Drama,8.2,,,Drama,,
Rashômon,1950,,88 min,"Crime, Drama, Mystery",8.2,98.0,"96,568",Crime,Drama,Mystery
All About Eve,1950,Passed,138 min,Drama,8.2,98.0,"10,177",Drama,,
The Treasure of the Sierra Madre,1948,Passed,126 min,"Adventure, Drama, Western",8.2,98.0,"5,014,000",Adventure,Drama,Western
To Be or Not to Be,1942,Passed,99 min,"Comedy, War",8.2,86.0,,Comedy,War,
The Gold Rush,1925,Passed,95 min,"Adventure, Comedy, Drama",8.2,,"5,450,000",Adventure,Comedy,Drama
Sherlock Jr.,1924,Passed,45 min,"Action, Comedy, Romance",8.2,,"977,375",Action,Comedy,Romance
Portrait de la jeune fille en feu,2019,R,122 min,"Drama, Romance",8.1,95.0,"3,759,854",Drama,Romance,
Pink,2016,UA,136 min,"Drama, Thriller",8.1,,"1,241,223",Drama,Thriller,
Koe no katachi,2016,16,130 min,"Animation, Drama, Family",8.1,78.0,,Animation,Drama,Family
Contratiempo,2016,TV-MA,106 min,"Crime, Drama, Mystery",8.1,,,Crime,Drama,Mystery
Ah-ga-ssi,2016,A,145 min,"Drama, Romance, Thriller",8.1,84.0,"2,006,788",Drama,Romance,Thriller
Mommy,2014,R,139 min,Drama,8.1,74.0,"3,492,754",Drama,,
Haider,2014,UA,160 min,"Action, Crime, Drama",8.1,,"901,610",Action,Crime,Drama
Logan,2017,A,137 min,"Action, Drama, Sci-Fi",8.1,77.0,"226,277,068",Action,Drama,Sci-Fi
Room,2015,R,118 min,"Drama, Thriller",8.1,86.0,"14,677,674",Drama,Thriller,
Relatos salvajes,2014,R,122 min,"Comedy, Drama, Thriller",8.1,77.0,"3,107,072",Comedy,Drama,Thriller
Soul,2020,U,100 min,"Animation, Adventure, Comedy",8.1,83.0,,Animation,Adventure,Comedy
Kis Uykusu,2014,,196 min,Drama,8.1,88.0,"165,520",Drama,,
PK,2014,UA,153 min,"Comedy, Drama, Musical",8.1,,"10,616,104",Comedy,Drama,Musical
OMG: Oh My God!,2012,U,125 min,"Comedy, Drama, Fantasy",8.1,,"923,221",Comedy,Drama,Fantasy
The Grand Budapest Hotel,2014,UA,99 min,"Adventure, Comedy, Crime",8.1,88.0,"59,100,318",Adventure,Comedy,Crime
Gone Girl,2014,A,149 min,"Drama, Mystery, Thriller",8.1,79.0,"167,767,189",Drama,Mystery,Thriller
Ôkami kodomo no Ame to Yuki,2012,U,117 min,"Animation, Drama, Fantasy",8.1,71.0,,Animation,Drama,Fantasy
Hacksaw Ridge,2016,A,139 min,"Biography, Drama, History",8.1,71.0,"67,209,615",Biography,Drama,History
Inside Out,2015,U,95 min,"Animation, Adventure, Comedy",8.1,94.0,"356,461,711",Animation,Adventure,Comedy
Barfi!,2012,U,151 min,"Comedy, Drama, Romance",8.1,,"2,804,874",Comedy,Drama,Romance
12 Years a Slave,2013,A,134 min,"Biography, Drama, History",8.1,96.0,"56,671,993",Biography,Drama,History
Rush,2013,UA,123 min,"Action, Biography, Drama",8.1,74.0,"26,947,624",Action,Biography,Drama
Ford v Ferrari,2019,UA,152 min,"Action, Biography, Drama",8.1,81.0,"117,624,028",Action,Biography,Drama
Spotlight,2015,A,129 min,"Biography, Crime, Drama",8.1,93.0,"45,055,776",Biography,Crime,Drama
Song of the Sea,2014,PG,93 min,"Animation, Adventure, Drama",8.1,85.0,"857,524",Animation,Adventure,Drama
Kahaani,2012,UA,122 min,"Mystery, Thriller",8.1,,"1,035,953",Mystery,Thriller,
Zindagi Na Milegi Dobara,2011,U,155 min,"Comedy, Drama",8.1,,"3,108,485",Comedy,Drama,
Prisoners,2013,A,153 min,"Crime, Drama, Mystery",8.1,70.0,"61,002,302",Crime,Drama,Mystery
Mad Max: Fury Road,2015,UA,120 min,"Action, Adventure, Sci-Fi",8.1,90.0,"154,058,340",Action,Adventure,Sci-Fi
A Wednesday,2008,UA,104 min,"Action, Crime, Drama",8.1,,,Action,Crime,Drama
Gran Torino,2008,R,116 min,Drama,8.1,72.0,"148,095,302",Drama,,
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,"Adventure, Drama, Fantasy",8.1,85.0,"381,011,219",Adventure,Drama,Fantasy
Okuribito,2008,PG-13,130 min,"Drama, Music",8.1,68.0,"1,498,210",Drama,Music,
Hachi: A Dog's Tale,2009,G,93 min,"Biography, Drama, Family",8.1,,,Biography,Drama,Family
Mary and Max,2009,,92 min,"Animation, Comedy, Drama",8.1,,,Animation,Comedy,Drama
How to Train Your Dragon,2010,U,98 min,"Animation, Action, Adventure",8.1,75.0,"217,581,231",Animation,Action,Adventure
Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",8.1,73.0,"18,354,356",Adventure,Biography,Drama
No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.1,91.0,"74,283,625",Crime,Drama,Thriller
Lage Raho Munna Bhai,2006,U,144 min,"Comedy, Drama, Romance",8.1,,"2,217,561",Comedy,Drama,Romance
Million Dollar Baby,2004,UA,132 min,"Drama, Sport",8.1,86.0,"100,492,203",Drama,Sport,
Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1,79.0,"23,530,892",Biography,Drama,History
Taegukgi hwinalrimyeo,2004,R,140 min,"Action, Drama, War",8.1,64.0,"1,111,061",Action,Drama,War
Before Sunset,2004,R,80 min,"Drama, Romance",8.1,90.0,"5,820,649",Drama,Romance,
Munna Bhai M.B.B.S.,2003,U,156 min,"Comedy, Drama, Musical",8.1,,,Comedy,Drama,Musical
Salinui chueok,2003,UA,131 min,"Crime, Drama, Mystery",8.1,82.0,"14,131",Crime,Drama,Mystery
Dil Chahta Hai,2001,Unrated,183 min,"Comedy, Drama, Romance",8.1,,"300,000",Comedy,Drama,Romance
Kill Bill: Vol. 1,2003,R,111 min,"Action, Crime, Drama",8.1,69.0,"70,099,045",Action,Crime,Drama
Finding Nemo,2003,U,100 min,"Animation, Adventure, Comedy",8.1,90.0,"380,843,261",Animation,Adventure,Comedy
Catch Me If You Can,2002,A,141 min,"Biography, Crime, Drama",8.1,75.0,"164,615,351",Biography,Crime,Drama
Amores perros,2000,A,154 min,"Drama, Thriller",8.1,83.0,"5,383,834",Drama,Thriller,
"Monsters, Inc.",2001,U,92 min,"Animation, Adventure, Comedy",8.1,79.0,"289,916,256",Animation,Adventure,Comedy
